Updated policy parameters
New policy params 0.5 0.5 4
GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

TOUCH DOWN
2.73531
FINISHED TOUCH DOWN

CUTTING
scaling_factor 0.105263
gaussian_mu 1.67976
gaussian_sigma_square 0.705396
platform height -0.08
Current pose -0.0355221
Z dist 0.0444779
4.00354 0.0255834 5.16331 0.0255834 5.16331
4.00362 0.0417353 3.1411 0.0417353 3.1411
3.99666 0.0730367 5.35889 0.0730367 5.35889
3.98458 -0.122047 5.5068 -0.122047 5.5068
3.97672 0.153011 3.42284 0.153011 3.42284
3.95716 0.133041 4.33142 0.133041 4.33142
3.93611 -0.0457071 6.38012 -0.0457071 6.38012
3.9194 0.304578 4.02273 0.304578 4.02273
3.89416 0.253464 4.49966 0.253464 4.49966
3.87582 0.549572 2.81507 0.549572 2.81507
3.86986 1.45812 5.00832 1.45812 5.00832
3.86021 1.71741 4.20252 1.71741 4.20252
3.85399 2.03146 3.73208 2.03146 3.73208
3.84897 2.19737 2.85058 2.19737 2.85058
3.85089 2.67643 2.79785 2.67643 2.79785
3.85316 2.86633 4.20346 2.86633 4.20346
3.85529 3.04265 5.20221 3.04265 5.20221
3.85556 3.12293 4.46719 3.12293 4.46719
3.853 3.16466 3.99001 3.16466 3.99001
3.85039 3.26035 4.41795 3.26035 4.41795
3.84895 3.32954 3.66526 3.32954 3.66526
3.84708 3.37832 5.46656 3.37832 5.46656
3.84385 3.39579 5.47107 3.39579 5.47107
3.84135 3.55039 4.82911 3.55039 4.82911
3.83755 3.60045 4.54102 3.60045 4.54102
3.83328 3.6569 3.71159 3.6569 3.71159
3.83054 3.86779 2.86117 3.86779 2.86117
3.82536 3.86545 4.65328 3.86545 4.65328
3.82002 3.97866 2.86563 3.97866 2.86563
3.81503 3.98006 1.78677 3.98006 1.78677
3.80943 3.87826 4.22258 3.87826 4.22258
3.80759 4.05221 2.62969 4.05221 2.62969
3.80684 4.0886 3.81063 4.0886 3.81063
3.8029 3.82301 3.32079 3.82301 3.32079
3.8012 3.99359 4.84618 3.99359 4.84618
3.79769 3.85294 1.94805 3.85294 1.94805
3.79062 3.81276 4.12625 3.81276 4.12625
3.78513 3.94032 2.0153 3.94032 2.0153
3.78034 3.84959 4.443 3.84959 4.443
3.77291 3.84992 2.34869 3.84992 2.34869
3.766 3.90709 3.99512 3.90709 3.99512
3.76125 4.05298 3.99882 4.05298 3.99882
3.75846 4.01566 3.94294 4.01566 3.94294
3.75252 3.96795 4.81307 3.96795 4.81307
3.74631 3.90278 4.61146 3.90278 4.61146
3.74112 4.00192 3.97357 4.00192 3.97357
3.73431 3.86859 4.30761 3.86859 4.30761
3.72705 3.98774 5.46909 3.98774 5.46909
3.71931 3.94307 3.7683 3.94307 3.7683
3.71002 3.96479 3.75431 3.96479 3.75431
