Updated policy parameters
New policy params 0.5 0.5 4
[ INFO] [1570714289.981215682]: Starting cutting rollout
GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

[ INFO] [1570714293.521221844]: New start pose Recorded
TOUCH DOWN
2.51588
FINISHED TOUCH DOWN

CUTTING
[ INFO] [1570714297.441707282]: Gaussian velocity parameters calculated
platform height -0.08
Current pose -0.0348015
Z dist 0.0451985
4.00346 0.402494 3.7255 0.402494 2.0255
4.00355 0.439945 3.86051 0.439945 2.16051
3.99797 0.407897 5.10041 0.407897 3.40041
3.99283 0.507909 3.39401 0.507909 1.69401
3.98619 0.354882 3.97716 0.354882 2.27716
3.97683 0.327461 4.38088 0.327461 2.68088
3.96846 0.382333 4.66493 0.382333 2.96493
3.95452 0.361596 5.15699 0.361596 3.45699
3.9392 0.313157 3.28576 0.313157 1.58576
3.92473 0.452413 2.93485 0.452413 1.23485
3.91031 0.466885 4.02326 0.466885 2.32326
3.89882 0.639692 4.38137 0.639692 2.68137
3.8859 0.673965 3.71056 0.673965 2.01056
3.87603 0.816942 3.42022 0.816942 1.72022
3.8739 1.19623 3.17031 1.19623 1.47031
3.87468 1.41852 3.92778 1.41852 2.22778
3.87589 1.53748 3.31676 1.53748 1.61676
3.87783 1.62889 3.80531 1.62889 2.10531
3.88028 1.80197 4.22275 1.80197 2.52275
3.8826 1.91795 4.44325 1.91795 2.74325
3.88092 1.93531 3.87787 1.93531 2.17787
3.87743 1.90424 3.35123 1.90424 1.65123
3.8734 1.97428 4.57415 1.97428 2.87415
3.87004 1.98619 3.69946 1.98619 1.99946
3.86513 1.98553 4.6459 1.98553 2.9459
3.85911 1.99742 4.62739 1.99742 2.92739
3.85397 2.01681 4.19462 2.01681 2.49462
3.84845 2.10348 3.79508 2.10348 2.09508
3.84218 1.98501 3.58805 1.98501 1.88805
3.83792 2.1668 3.85862 2.1668 2.15862
3.83394 2.07171 4.33776 2.07171 2.63776
3.8302 2.1474 2.75151 2.1474 1.05151
3.82628 2.15037 4.20772 2.15037 2.50772
3.82356 2.24049 3.10668 2.24049 1.40668
3.82118 2.28844 3.23687 2.28844 1.53687
3.81721 2.2169 3.59901 2.2169 1.89901
3.8125 2.21367 3.16434 2.21367 1.46434
3.80745 2.29732 3.1694 2.29732 1.4694
3.80143 2.2517 3.71537 2.2517 2.01537
3.79559 2.30389 3.8999 2.30389 2.1999
3.78952 2.33642 3.77699 2.33642 2.07699
3.78355 2.40154 2.85073 2.40154 1.15073
3.77842 2.46749 3.8735 2.46749 2.1735
3.77536 2.55666 3.6457 2.55666 1.9457
3.77297 2.65676 4.33364 2.65676 2.63364
3.76741 2.55768 2.87156 2.55768 1.17156
3.76301 2.85068 3.56944 2.85068 1.86944
3.76065 2.8259 3.55042 2.8259 1.85042
